price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,Furnished_status,type_of_building,Balcony_missing
8500000.0,"Vaishali, Ghaziabad, Delhi NCR",1350.0,28.647938,77.340697,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
4700000.0,"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1085.0,28.646509,77.3814882767311,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
8500000.0,"Sector 108, Gurgaon, Delhi NCR",1790.0,28.512136,76.986899,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
10000000.0,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689.0,28.487018,76.998009,3.0,3.0,4.0,Ready to Move,New Property,Semi-Furnished,Flat,0
18000000.0,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411.0,28.391644,77.06486457,3.0,3.0,3.0,Ready to Move,Resale,Unknown,Flat,0
12400000.0,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650.0,28.6016822982437,77.0319327881991,3.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
7700000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685.0,28.5092080113141,77.4066255380327,3.0,4.0,4.0,Ready to Move,Resale,Unfurnished,Flat,0
6000000.0,"Vaishali, Ghaziabad, Delhi NCR",1050.0,28.648794,77.3425322478785,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
12500000.0,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300.0,28.59344,77.065951,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
6380000.0,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170.0,28.495893478393555,77.18599700927734,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,0
7400000.0,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275.0,28.28709602355957,77.06906127929688,2.0,2.0,2.0,Ready to Move,New Property,Semi-Furnished,Flat,0
8400000.0,"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",1890.0,28.410466,76.962531,3.0,3.0,4.0,Ready to Move,Resale,Unknown,Flat,0
6400000.0,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455.0,28.570142,77.3862730013034,3.0,2.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
19000000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768.0,28.5934318343359,77.0442727572328,3.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
4300000.0,"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",1295.0,28.566914,77.436434,2.0,2.0,4.0,Ready to Move,Resale,Unknown,Individual House,0
23800000.0,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",3500.0,28.4818021,77.2200217,4.0,5.0,3.0,Ready to Move,Resale,Unknown,Flat,0
10500000.0,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850.0,28.548787,77.346032,3.0,4.0,2.0,Ready to Move,Resale,Unknown,Flat,0
10800000.0,"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",1966.0,28.247592,77.069185,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1350.0,28.6493479,77.3696259,2.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat,1
4320000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040.0,28.509118,77.413416,2.0,2.0,3.0,Ready to Move,New Property,Unknown,Flat,0
3000000.0,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",800.0,28.6452824,77.3621025,2.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,0
3500000.0,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950.0,28.579593,77.445197,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
16000000.0,"F-54., South City 2, Gurgaon, Delhi NCR",2000.0,28.4178669,77.0512457,4.0,4.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,0
3000000.0,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900.0,28.685449,77.5092258,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
3300000.0,"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",960.0,28.5128413669417,77.4895533166212,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
8200000.0,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",1371.0,28.433653,77.152919,2.0,2.0,3.0,Ready to Move,New Property,Unknown,Flat,0
6000000.0,"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",1750.0,28.475274,77.545978,3.0,3.0,1.0,Ready to Move,Resale,Unknown,Flat,0
4100000.0,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1299.0,28.519997,77.376873,3.0,2.0,4.0,Ready to Move,Resale,Unknown,Flat,0
5200000.0,"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",1365.0,28.60595893859864,77.44451141357422,3.0,2.0,3.0,Ready to Move,Resale,Furnished,Flat,0
21000000.0,"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",2800.0,28.4655907,77.5114027,4.0,5.0,4.0,Ready to Move,Resale,Unfurnished,Flat,0
2650000.0,"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",835.0,28.609898,77.436343,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Flat,0
10000000.0,"Paschim Vihar, New Delhi - West, Delhi NCR",1000.0,28.6677244,77.0979515,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Individual House,1
4500000.0,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000.0,28.63472366333008,77.04911041259766,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,0
6900000.0,"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",1260.0,28.58548927307129,77.3993148803711,2.0,2.0,3.0,Ready to Move,Resale,Unfurnished,Flat,0
13500000.0,"Sector 99, Gurgaon, Delhi NCR",2425.0,28.44456311,76.9550119,4.0,4.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,1
4500000.0,"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",1198.0,28.633363723754883,77.43121337890625,3.0,2.0,1.0,Ready to Move,Resale,Furnished,Flat,0
32500000.0,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000.0,28.4969141,77.1652546,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,0
11000000.0,"Sector 71, Gurgaon, Delhi NCR",1743.0,28.419032,77.028272,3.0,3.0,2.0,Ready to Move,New Property,Unknown,Individual House,0
3200000.0,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650.0,28.59803581237793,77.07652282714844,2.0,2.0,1.0,Ready to Move,Resale,Unfurnished,Flat,0
3200000.0,"greater noida, Jalvayu Vihar, Greater Noida, Delhi NCR",815.0,28.446343,77.515305,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,28.7005505,77.3286995,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Flat,1
11100000.000000002,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100.0,28.468477249145508,77.31389617919922,4.0,3.0,2.0,Ready to Move,Resale,Furnished,Flat,0
3500000.0,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900.0,28.6809994,77.356998,2.0,2.0,1.0,Ready to Move,Resale,Unfurnished,Flat,0
12500000.0,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country, Gurgaon, Delhi NCR",1836.0,28.414627,77.060127,3.0,3.0,3.0,Ready to Move,Resale,Unknown,Flat,0
8500000.0,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A, Noida, Delhi NCR",1495.0,28.502597,77.428742,3.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,28.616204,77.422256,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
82000000.0,"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",5495.0,28.4361825275276,77.1043058418003,5.0,6.0,2.0,Ready to Move,Resale,Unknown,Flat,0
9000000.0,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250.0,28.6401587513384,77.066265900795,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Individual House,0
14000000.0,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500.0,28.68651580810547,77.29942321777344,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,0
8900000.0,"Sector 37D, Gurgaon, Delhi NCR",1815.0,28.45251307,76.97627035,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
3200000.0,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041.0,28.701837981083,77.423206716491,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
15000000.0,"S Block, Sector 49, Gurgaon, Delhi NCR",2000.0,28.412109,77.049522,4.0,4.0,3.0,Ready to Move,Resale,Unknown,Flat,0
9200000.0,"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",1960.0,28.393665,76.962842,3.0,3.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
11500000.0,"sector 84, Sihi, Gurgaon, Delhi NCR",1963.0,28.406752,76.96474017,3.0,3.0,3.0,Ready to Move,Resale,Unknown,Flat,0
6000000.0,"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",1246.0,28.5863287948209,77.4010620206905,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
3900000.0,"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",1085.0,28.473679,77.506258,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
3600000.0,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",995.0,28.606945,77.455578568448,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
49000000.0,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",6168.0,28.470149,77.535673,5.0,5.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,0
7500000.0,"Sector 77, Gurgaon, Delhi NCR",1260.0,28.3824895,76.9823169,2.0,2.0,2.0,Ready to Move,New Property,Unknown,Individual House,1
18000000.0,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700.0,28.5884566,77.304787,4.0,3.0,1.0,Ready to Move,Resale,Unknown,Individual House,0
17200000.0,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025.0,28.5858422747995,77.0606247868441,3.0,2.0,4.0,Ready to Move,Resale,Unknown,Flat,0
17000000.0,"Moti Nagar, New Delhi - West, Delhi NCR",1600.0,28.66662979125977,77.1522216796875,3.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,0
5500000.0,"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",1150.0,28.497455596923828,77.02713775634766,3.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,0
13000000.0,"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",2300.0,28.655845642089844,77.36822509765625,4.0,4.0,3.0,Ready to Move,Resale,Unfurnished,Flat,0
9900000.0,"Sector 90, Gurugram, Haryana 122505, Sector 90, Gurgaon, Delhi NCR",1760.0,28.407361,76.93426176,3.0,2.0,4.0,Ready to Move,Resale,Unknown,Flat,0
7000000.0,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",559.0,28.7295315,77.106949,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Individual House,1
5150000.0,"Sector 143, Noida, Sector 143, Noida, Delhi NCR",1234.0,28.500621,77.424203,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
7500000.0,"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",700.0,28.6628739905415,77.0977670161547,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
2630000.0,"415  81High street mall sector 81 not pull greater Faridabad, Sector 81, Faridabad, Delhi NCR",750.0,28.39244079589844,77.34424591064453,3.0,2.0,2.0,Ready to Move,New Property,Unfurnished,Flat,0
4600000.0,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000.0,28.618239,77.054361,3.0,2.0,2.0,Under Construction,New Property,Unknown,Flat,1
7500000.0,"G Tower, Amrapali Sapphire Phase I, Sector 45, Noida, Delhi NCR",1390.0,28.548787,77.346032,3.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
7000000.0,"Sector 69, Gurgaon, Sector 69, Gurgaon, Delhi NCR",1326.0,28.397731,77.036526,3.0,3.0,3.0,Ready to Move,Resale,Unknown,Flat,0
5800000.0,"Sector 129, Noida, Delhi NCR",1270.0,28.524543,77.364765,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
5200000.0,"Sector 143, Noida, Delhi NCR",1175.0,28.500621,77.424203,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Individual House,1
26000000.0,"Sector 128 Noida, Sector 128, Noida, Delhi NCR",3755.0,28.5279804259531,77.354191,4.0,6.0,2.0,Ready to Move,New Property,Unknown,Flat,0
20000000.0,"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",1650.0,28.666059,77.150134,3.0,3.0,4.0,Ready to Move,Resale,Unknown,Flat,0
3200000.0,"895., Mehrauli, New Delhi - South, Delhi NCR",800.0,28.5201861,77.179158,2.0,2.0,1.0,Ready to Move,New Property,Unfurnished,Flat,0
8500000.0,"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",1100.0,28.6288025,77.0958556,2.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat,1
4320000.0,"Sector 67, Gurgaon, Delhi NCR",800.0,28.38762,77.06237,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
6709999.999999999,"Vasundhara, Ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",1180.0,28.65493,77.350989,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
16900000.0,"firstfloor, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",1935.0,28.45451736450196,77.08187103271484,3.0,4.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,0
12500000.0,"Sec 30, Near N M C hospital, Noida, Ram Vihar, Noida, Delhi NCR",1800.0,28.576661,77.339673,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,0
5000000.0,"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117, Noida, Delhi NCR",1200.0,28.577634811401367,77.39510345458984,3.0,2.0,3.0,Ready to Move,Resale,Unfurnished,Flat,0
12000000.0,"Lajpat Nagar, New Delhi, Lajpat Nagar 4, New Delhi - South, Delhi NCR",1250.0,28.564363,77.24171,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
2700000.0,"Plot Number 6 Flat number 101  Hans enclave Gurgaon, Hans Enclave, Gurgaon, Delhi NCR",770.0,28.497467041015625,77.027099609375,2.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,0
11000000.0,"Vasundhara Enclave, New Delhi - East, Delhi NCR",1200.0,28.6017251,77.3178069,3.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat,1
14000000.0,"Row House, Sector 21 Surya Vihar-, Gurgaon, Delhi NCR",2500.0,28.51766395568848,77.07933044433594,5.0,5.0,2.0,Ready to Move,Resale,Furnished,Flat,1
7500000.0,"Sector 37D, Gurgaon, Delhi NCR",1675.0,28.446568,76.968477,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
